source_product_id,source_product_title,recommendation_rank,recommended_product_id,recommended_product_title,recommendation_source
gid://shopify/Product/7761873731631,USINA GILET,1,gid://shopify/Product/7806888017967,Testing bundles 2,hybrid
gid://shopify/Product/7761873731631,USINA GILET,2,gid://shopify/Product/7761874026543,USINA SHORTS,hybrid
gid://shopify/Product/7761873731631,USINA GILET,3,gid://shopify/Product/7761874157615,USINA TROUSERS,hybrid
gid://shopify/Product/7761873731631,USINA GILET,4,gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,hybrid
gid://shopify/Product/7761873731631,USINA GILET,5,gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,hybrid
gid://shopify/Product/7761874026543,USINA SHORTS,1,gid://shopify/Product/7806888017967,Testing bundles 2,hybrid
gid://shopify/Product/7761874026543,USINA SHORTS,2,gid://shopify/Product/7761873731631,USINA GILET,hybrid
gid://shopify/Product/7761874026543,USINA SHORTS,3,gid://shopify/Product/7761874157615,USINA TROUSERS,hybrid
gid://shopify/Product/7761874026543,USINA SHORTS,4,gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,hybrid
gid://shopify/Product/7761874026543,USINA SHORTS,5,gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,hybrid
gid://shopify/Product/7761874157615,USINA TROUSERS,1,gid://shopify/Product/7806888017967,Testing bundles 2,hybrid
gid://shopify/Product/7761874157615,USINA TROUSERS,2,gid://shopify/Product/7761873731631,USINA GILET,hybrid
gid://shopify/Product/7761874157615,USINA TROUSERS,3,gid://shopify/Product/7761874026543,USINA SHORTS,hybrid
gid://shopify/Product/7761874157615,USINA TROUSERS,4,gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,hybrid
gid://shopify/Product/7761874157615,USINA TROUSERS,5,gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,hybrid
gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,1,gid://shopify/Product/7806888017967,Testing bundles 2,hybrid
gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,2,gid://shopify/Product/7761873731631,USINA GILET,hybrid
gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,3,gid://shopify/Product/7761874026543,USINA SHORTS,hybrid
gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,4,gid://shopify/Product/7761874157615,USINA TROUSERS,hybrid
gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,5,gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,hybrid
gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,1,gid://shopify/Product/7806888017967,Testing bundles 2,hybrid
gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,2,gid://shopify/Product/7761873731631,USINA GILET,hybrid
gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,3,gid://shopify/Product/7761874026543,USINA SHORTS,hybrid
gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,4,gid://shopify/Product/7761874157615,USINA TROUSERS,hybrid
gid://shopify/Product/7761874354223,KIMONO ITANHANGÁ S1,5,gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,hybrid
gid://shopify/Product/7761874386991,GRUMARI SHORTS S3,1,gid://shopify/Product/7806888017967,Testing bundles 2,hybrid
gid://shopify/Product/7761874386991,GRUMARI SHORTS S3,2,gid://shopify/Product/7761873731631,USINA GILET,hybrid
gid://shopify/Product/7761874386991,GRUMARI SHORTS S3,3,gid://shopify/Product/7761874026543,USINA SHORTS,hybrid
gid://shopify/Product/7761874386991,GRUMARI SHORTS S3,4,gid://shopify/Product/7761874157615,USINA TROUSERS,hybrid
gid://shopify/Product/7761874386991,GRUMARI SHORTS S3,5,gid://shopify/Product/7761874223151,KIMONO ITANHANGÁ S3,hybrid
gid://shopify/Product/7761874485295,GRUMARI SHORTS S2,1,gid://shopify/Product/7806888017967,Testing bundles 2,hybrid
