feature_name,source
product_title,Original product information
product_id,Original product information
handle,Original product information
custom_migueldimensoes,Other/Unknown
custom_miguelmetaobject,Other/Unknown
custom_miguelwieght,Other/Unknown
custom_testesolo,Other/Unknown
custom_product_video,Other/Unknown
metafield_shopify--discovery--product_recommendation_related_products_display_only_manual,TF-IDF from product metafields
metafield_shopify--discovery--product_recommendation_related_products_display_ahead,TF-IDF from product metafields
metafield_custom_promotion_promotion_text,TF-IDF from product metafields
metafield_custom_richtext_nao_percebo_nada_disto_dadadad,TF-IDF from product metafields
metafield_shopify_fabric__main_fabric_93_polyester_pl_7,TF-IDF from product metafields
metafield_custom_care_instructions_dadas,TF-IDF from product metafields
metafield_custom_miguellistametaobjects_short_sleeveless,TF-IDF from product metafields
metafield_custom_migueltestecatogory_elastic_waistband_flattering_s,TF-IDF from product metafields
product_type_,Product type dummy variable
product_type_robe,Product type dummy variable
product_type_scrunchie,Product type dummy variable
product_type_shorts,Product type dummy variable
product_type_slipsilk,Product type dummy variable
product_type_top,Product type dummy variable
product_type_trousers,Product type dummy variable
tag_Drop1,Tag dummy variable
tag_drop2,Tag dummy variable
tag_drop3,Tag dummy variable
tag_drop4,Tag dummy variable
tag_hoodie_conj,Tag dummy variable
tag_satin_shirt,Tag dummy variable
tag_satin_trousers,Tag dummy variable
tag_sweatpants_conj,Tag dummy variable
tag_sweatshirt_conj,Tag dummy variable
collections_Accessories,Collection dummy variable
collections_Activewear,Collection dummy variable
collections_Activewear (Drop),Collection dummy variable
collections_All Products - NAPPSGiftRewards (DO NOT DELETE),Collection dummy variable
collections_Arpoador Showcase 5,Collection dummy variable
collections_Beach video lookbook,Collection dummy variable
collections_Carioca ShowCase 2,Collection dummy variable
collections_Copacabana ShowCase 1,Collection dummy variable
collections_Easywear,Collection dummy variable
collections_Garatucaia ShowCase 4,Collection dummy variable
collections_Guariba Showcase 3,Collection dummy variable
collections_Lingerie,Collection dummy variable
collections_Loungewear,Collection dummy variable
collections_Push random bikinis,Collection dummy variable
collections_Sleepwear,Collection dummy variable
collections_Special Prices,Collection dummy variable
collections_Swimwear,Collection dummy variable
collections_Tijuca ShowCase 1,Collection dummy variable
collections_Tracksuits,Collection dummy variable
collections_tudo,Collection dummy variable
collections_🇧🇷 Rio Janeiro 24 | Drop I,Collection dummy variable
