source_product_id,source_product_title,recommended_product_id,recommended_product_title,rank,similarity_score
gid://shopify/Product/9641397518684,Sanjo K200 // Black & White,gid://shopify/Product/9641450963292,Sanjo K200 // Brown Gum,1,0.19551338812210478
gid://shopify/Product/9641397551452,Sanjo K200 // Black,gid://shopify/Product/9641450963292,Sanjo K200 // Brown Gum,1,0.19572192935958693
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641427206492,Sanjo K200 Solid // Baby Blue,1,0.0427491370018008
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641448571228,Sanjo STC 70 Low // Garden,2,0.036013459787405444
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641448407388,Sanjo STC 70 Low // Black,3,0.03482491767241449
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641469018460,Sanjo K100 Bombazine // Toffe Tricolor,4,0.03348069971123409
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641450766684,Sanjo K200 // Blue Gum,5,0.03341465058339749
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641446605148,Sanjo K230 // Washed Air,6,0.033106611855374196
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641446244700,Sanjo K230 // Washed Sea x Red,7,0.032886856864204256
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641443656028,Sanjo K200 OG // Washed Loto,8,0.03256346263859462
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641447817564,Sanjo STC 70 High // Black,9,0.03233456737450879
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641448178012,Sanjo STC 70 Low // Sky,10,0.03228036862998095
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641465577820,Sanjo K100 Cordura // Navy Multicolor,11,0.032053749233909516
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641462268252,Sanjo Desert Leather // Brown,12,0.03202192690491475
