product1_id,product1,product2_id,product2,similarity
gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,gid://shopify/Product/7830912663779,CALLIE LACE SHORT,0.9288294731239077
gid://shopify/Product/7830912663779,CALLIE LACE SHORT,gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,0.9288294731239077
gid://shopify/Product/7953513775331,BLACK LOUNGEWEAR SWEATSHIRT,gid://shopify/Product/9571849339221,LAVENDER LOUNGEWEAR SWEATSHIRT,0.9411415549606772
gid://shopify/Product/7953513775331,BLACK LOUNGEWEAR SWEATSHIRT,gid://shopify/Product/9571858612565,BLUE LOUNGEWEAR SWEATSHIRT,0.9662576260839911
gid://shopify/Product/7953513775331,BLACK LOUNGEWEAR SWEATSHIRT,gid://shopify/Product/9571859530069,SALMON LOUNGEWEAR SWEATSHIRT,0.9662576260839911
gid://shopify/Product/7953514365155,BLACK LOUNGEWEAR TROUSERS,gid://shopify/Product/9571854909781,SALMON LOUNGEWEAR TROUSERS,0.9799994381147479
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,1.0
