product_title,product_id,description,handle,product_type,shopify--discovery--product_recommendation_related_products_display,custom_promotion,custom_richtext,shopify_color-pattern,shopify_fabric,custom_care_instructions,custom_migueldimensoes,custom_miguelmetaobject,custom_miguelwieght,custom_testesolo,custom_miguellistametaobjects,custom_migueltestecatogory,shopify--discovery--product_recommendation_related_products_display_manual,custom_promotion_promotion,custom_promotion_text,custom_richtext_dadadada,custom_richtext_disto,custom_richtext_miguel,custom_richtext_nada,custom_richtext_nao,custom_richtext_olaaa,custom_richtext_percebo,shopify_fabric_18,shopify_fabric_20,shopify_fabric_80,shopify_fabric_82,shopify_fabric_93,shopify_fabric_acrylic,shopify_fabric_contrast,shopify_fabric_ea,shopify_fabric_elastane,shopify_fabric_fabric,shopify_fabric_forro,shopify_fabric_lining,shopify_fabric_main,shopify_fabric_pa,shopify_fabric_pes,shopify_fabric_pl,shopify_fabric_polyamide,shopify_fabric_polyester,shopify_fabric_recycled,custom_care_instructions_dadas,custom_miguellistametaobjects_short,custom_miguellistametaobjects_sleeveless,custom_migueltestecatogory_breathable,custom_migueltestecatogory_design,custom_migueltestecatogory_elastic,custom_migueltestecatogory_flattering,custom_migueltestecatogory_silhouette,custom_migueltestecatogory_waistband,collections_Accessories,collections_All Products - NAPPSGiftRewards (DO NOT DELETE),collections_Easywear,collections_tudo,vendor_Missus,vendor_missusstore,min_price,max_price,has_discount,other_tamanho:M/L,other_tamanho:S/M,other_title:Default Title,clean_text
USINA GILET,gid://shopify/Product/7761873731631,Coleção Spring Summer 2024 | RJ Collection 🌴 Mix & Match Colete aberto em malha estruturada. Disponível nos tamanhos S/M e M/L. A modelo está a utilizar o tamanho S/M.,usina-gilet,,only manual,promotion text,nao percebo nada disto dadadada olaaa miguel,#f79320 #576091 #FFFFFF #9e867c,  Main Fabric: 93% Polyester | PL // 7% Elastane | EA  Contrast: 80% Polyamide | PA // 20% Elastane | EA  Forro | Lining: 82% Recycled PES // 18% Elastane | EA Acrylic,dadas,1.0,,0.9999999999999999,,Short Sleeveless,Elastic waistband Flattering silhouette Breathable design,1.0,0.7071067811865475,0.7071067811865475,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.50709255283711,0.50709255283711,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,0.16903085094570333,1.0,0.7071067811865475,0.7071067811865475,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0.408248290463863,0,1,0,1,1,0,0.5377503852080122,0.5377503852080122,0,1,1,0,coleção spring summer 2024 | rj collection 🌴 mix & match colete aberto em malha estruturada. disponível nos tamanhos s/m e m/l. a modelo está a utilizar o tamanho s/m.
USINA SHORTS,gid://shopify/Product/7761874026543,Coleção Spring Summer 2024 | RJ Collection 🌴 Mix & Match Calções fluídos com elástico na cintura.Disponível nos tamanhos S/M e M/L.,usina-shorts,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0.49306625577812013,0.49306625577812013,0,1,1,0,coleção spring summer 2024 | rj collection 🌴 mix & match calções fluídos com elástico na cintura.disponível nos tamanhos s/m e m/l.
USINA TROUSERS,gid://shopify/Product/7761874157615,Coleção Spring Summer 2024 | RJ Collection 🌴 Mix & Match Calças brancas perfuradas com elástico na cintura.Disponível nos tamanhos S/M e M/L. A modelo está a utilizar o tamanho S/M.,usina-trousers,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0.6147919876733435,0.6147919876733435,0,1,1,0,coleção spring summer 2024 | rj collection 🌴 mix & match calças brancas perfuradas com elástico na cintura.disponível nos tamanhos s/m e m/l. a modelo está a utilizar o tamanho s/m.
KIMONO ITANHANGÁ S3,gid://shopify/Product/7761874223151,"Coleção Spring Summer 2024 Kimono comprido com atilho cintado, ajustável por laço. Disponível em tamanho único.",kimono-itanhanga-s3,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,1.0,1.0,0,0,0,1,"coleção spring summer 2024 kimono comprido com atilho cintado, ajustável por laço. disponível em tamanho único."
KIMONO ITANHANGÁ S1,gid://shopify/Product/7761874354223,"Coleção Spring Summer 2024 Kimono comprido com atilho cintado, ajustável por laço. Disponível em tamanho único.",kimono-itanhanga,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,1.0,1.0,0,0,0,1,"coleção spring summer 2024 kimono comprido com atilho cintado, ajustável por laço. disponível em tamanho único."
GRUMARI SHORTS S3,gid://shopify/Product/7761874386991,Coleção Spring Summer 2024 | RJ Collection 🌴 Mix & Match Calções fluídos com elástico na cintura.Disponível nos tamanhos S/M e M/L.,grumari-shorts-s3,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0.49306625577812013,0.49306625577812013,0,1,1,0,coleção spring summer 2024 | rj collection 🌴 mix & match calções fluídos com elástico na cintura.disponível nos tamanhos s/m e m/l.
GRUMARI SHORTS S2,gid://shopify/Product/7761874485295,Coleção Spring Summer 2024 | RJ Collection 🌴 Mix & Match Calções fluídos com elástico na cintura.Disponível nos tamanhos S/M e M/L.,grumari-shorts-s2,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0.49306625577812013,0.49306625577812013,0,1,1,0,coleção spring summer 2024 | rj collection 🌴 mix & match calções fluídos com elástico na cintura.disponível nos tamanhos s/m e m/l.
GRUMARI SHORTS S1,gid://shopify/Product/7761874518063,Coleção Spring Summer 2024 | RJ Collection 🌴 Mix & Match Calções fluídos com elástico na cintura.Disponível nos tamanhos S/M e M/L.,grumari-shorts,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0.49306625577812013,0.49306625577812013,0,1,1,0,coleção spring summer 2024 | rj collection 🌴 mix & match calções fluídos com elástico na cintura.disponível nos tamanhos s/m e m/l.
SILK SCARF SS'24 RJ COLLECTION S12,gid://shopify/Product/7761874649135,SS'24 Acessórios | RJ Collection 🌴 Lenço acetinado disponível em tamanho único. 70x70cm,silk-scarf-ss24-rj-collection-s12,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0.0,0.0,0,0,0,1,ss'24 acessórios | rj collection 🌴 lenço acetinado disponível em tamanho único. 70x70cm
SILK SCARF SS'24 RJ COLLECTION S11,gid://shopify/Product/7761874714671,SS'24 Acessórios | RJ Collection 🌴 Lenço acetinado disponível em tamanho único. 70x70cm,silk-scarf-ss24-rj-collection-s11,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0.0,0.0,0,0,0,1,ss'24 acessórios | rj collection 🌴 lenço acetinado disponível em tamanho único. 70x70cm
