source_product_id,source_product_title,recommended_product_id,recommended_product_title,rank,similarity_score
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641414754652,Sanjo K200 // Ecru,1,0.022854993928154193
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641448571228,Sanjo STC 70 Low // Garden,2,0.015552642884881727
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641427206492,Sanjo K200 Solid // Baby Blue,3,0.015538218086039318
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641448407388,Sanjo STC 70 Low // Black,4,0.014991658474505806
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641469018460,Sanjo K100 Bombazine // Toffe Tricolor,5,0.014120101165648035
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641446244700,Sanjo K230 // Washed Sea x Red,6,0.013932031213447903
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641450766684,Sanjo K200 // Blue Gum,7,0.013845019723877468
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641446605148,Sanjo K230 // Washed Air,8,0.01381322511908789
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641443656028,Sanjo K200 OG // Washed Loto,9,0.013774397610703244
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641447817564,Sanjo STC 70 High // Black,10,0.013772947810574867
gid://shopify/Product/9641397584220,Sanjo K200 // Red,gid://shopify/Product/9641448178012,Sanjo STC 70 Low // Sky,11,0.013767142590024569
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641450963292,Sanjo K200 // Brown Gum,1,0.22992669193406937
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641450471772,Sanjo K100 // Brown Gum,2,0.17877086141637524
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641414525276,Sanjo K100 // Ecru,3,0.17749124011188297
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641442378076,Sanjo teste V3 // All Grey,4,0.1732670152172043
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641450111324,Sanjo K100 // Blue Gum,5,0.17216517333256673
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641442247004,Sanjo teste V3 // Pearl Multicolor,6,0.17107162476187063
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641469935964,Sanjo K200 Bombazine // Olive,7,0.1663782745817443
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641409511772,Sanjo teste V2 // All Black,8,0.16289217957842672
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641453912412,Sanjo Pique Patch Polo // Black,9,0.1600370096844421
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641442050396,Sanjo SK EVO 100 // All Grey,10,0.15511754817705845
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641442607452,Sanjo SK EVO 100 // Pearl Multicolor,11,0.15511754794995994
gid://shopify/Product/9641399419228,Sanjo K200 // Denim & Yellow,gid://shopify/Product/9641397518684,Sanjo K200 // Black & White,12,0.1527495224518424
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641414754652,Sanjo K200 // Ecru,1,0.014695135111814504
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641427206492,Sanjo K200 Solid // Baby Blue,2,0.011731505281576952
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641448571228,Sanjo STC 70 Low // Garden,3,0.011297613322485503
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641448407388,Sanjo STC 70 Low // Black,4,0.010994869876270975
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641469018460,Sanjo K100 Bombazine // Toffe Tricolor,5,0.010519286744157365
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641446244700,Sanjo K230 // Washed Sea x Red,6,0.010410441468502432
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641450766684,Sanjo K200 // Blue Gum,7,0.010349365227321602
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641446605148,Sanjo K230 // Washed Air,8,0.010342665432112779
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641447817564,Sanjo STC 70 High // Black,9,0.010322377838517803
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641443656028,Sanjo K200 OG // Washed Loto,10,0.010320549659436254
gid://shopify/Product/9641401254236,Sanjo K100 // Denim & Yellow,gid://shopify/Product/9641448178012,Sanjo STC 70 Low // Sky,11,0.010319762106737683
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641450471772,Sanjo K100 // Brown Gum,1,0.141872213040061
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641450111324,Sanjo K100 // Blue Gum,2,0.14128221037350233
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,3,0.1367307912804298
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641414525276,Sanjo K100 // Ecru,4,0.13605848574559604
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,5,0.1332310861144949
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641408627036,Sanjo SK EVO 100 // White Natural,6,0.13200276771049893
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641442050396,Sanjo SK EVO 100 // All Grey,7,0.13106771323849398
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641442607452,Sanjo SK EVO 100 // Pearl Multicolor,8,0.13106771311623142
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641442378076,Sanjo teste V3 // All Grey,9,0.13079213782146373
gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,gid://shopify/Product/9641409020252,Sanjo teste V2 // White Natural,10,0.13050623034411404
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,1,0.14209946356223307
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,2,0.13816058647471355
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641450111324,Sanjo K100 // Blue Gum,3,0.13746945947319558
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641450471772,Sanjo K100 // Brown Gum,4,0.13002768991914052
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641462268252,Sanjo Desert Leather // Brown,5,0.12269347098900138
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641450766684,Sanjo K200 // Blue Gum,6,0.12196305396649458
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,7,0.12023004899625771
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641442050396,Sanjo SK EVO 100 // All Grey,8,0.11535797356675599
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641442607452,Sanjo SK EVO 100 // Pearl Multicolor,9,0.11535797348511072
gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,gid://shopify/Product/9641446605148,Sanjo K230 // Washed Air,10,0.11530092930181188
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641440969052,Sanjo Flocked Logo T-shirt //  Brown,1,0.006331849460289799
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641441132892,Sanjo Flocked Logo T-shirt //  Bottle,2,0.006331605718467488
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641434874204,Sanjo Patch Classic T-shirt // Black,3,0.00633107866175541
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641409380700,Sanjo Flocked Logo T-shirt // All Black,4,0.00633066685746426
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641432613212,Sanjo Patch Classic T-shirt // Brown,5,0.006330528036344074
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641452929372,Sanjo Tennis Club T-shirt // Ecru,6,0.0063305101360601355
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641432383836,Sanjo Patch Classic T-shirt // Navy,7,0.006330448569980844
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641452765532,Sanjo Tennis Club T-shirt // Bottle,8,0.006330286334082323
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641440739676,Sanjo Patch Classic T-shirt // Bottle Green,9,0.0063302512239488
gid://shopify/Product/9641405776220,Sanjo Retro Socks // Black Logo (3 Pack),gid://shopify/Product/9641410625884,Sanjo Flocked Logo T-shirt //  White,10,0.0063301995908992175
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641441001820,Sanjo Flocked Logo T-shirt //  Ecru,1,0.006331049863706007
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641432678748,Sanjo Patch Classic T-shirt // Ecru,2,0.006329986568061522
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641432449372,Sanjo Patch Classic T-shirt // White,3,0.006329566016624119
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641440739676,Sanjo Patch Classic T-shirt // Bottle Green,4,0.006328066273326846
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641410560348,Sanjo Flocked Logo T-shirt //  Navy,5,0.0063276413315095
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641432613212,Sanjo Patch Classic T-shirt // Brown,6,0.00632706894548094
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641452929372,Sanjo Tennis Club T-shirt // Ecru,7,0.006327053023054484
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641432383836,Sanjo Patch Classic T-shirt // Navy,8,0.006326991740471308
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641440969052,Sanjo Flocked Logo T-shirt //  Brown,9,0.006326975788197186
gid://shopify/Product/9641405874524,Sanjo Retro Socks // White Logo (3 Pack),gid://shopify/Product/9641441132892,Sanjo Flocked Logo T-shirt //  Bottle,10,0.0063267551462380485
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641450111324,Sanjo K100 // Blue Gum,1,0.1431841278036613
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,2,0.14209946356223307
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641450471772,Sanjo K100 // Brown Gum,3,0.1367627322922467
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,4,0.12903489037537383
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641412362588,Sanjo K100 Cordura // All Kaki,5,0.12417721691522939
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641442050396,Sanjo SK EVO 100 // All Grey,6,0.12270953232155035
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641442607452,Sanjo SK EVO 100 // Pearl Multicolor,7,0.12270953222683378
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641414525276,Sanjo K100 // Ecru,8,0.12188697012630224
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641462268252,Sanjo Desert Leather // Brown,9,0.12185272265661147
gid://shopify/Product/9641405972828,Sanjo K100 // Burel Ebano,gid://shopify/Product/9641442378076,Sanjo teste V3 // All Grey,10,0.12066663687898696
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641450111324,Sanjo K100 // Blue Gum,1,0.14639708623692382
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641450471772,Sanjo K100 // Brown Gum,2,0.14183981946503268
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641404399964,Sanjo K100 Cordura // All Black,3,0.13816058647471355
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641404203356,Sanjo K100 Cordura // Black & White,4,0.1332310861144949
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641412362588,Sanjo K100 Cordura // All Kaki,5,0.12962563226214105
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641414525276,Sanjo K100 // Ecru,6,0.12871884170160622
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641442050396,Sanjo SK EVO 100 // All Grey,7,0.12794877322675025
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641442607452,Sanjo SK EVO 100 // Pearl Multicolor,8,0.12794877311961675
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641442378076,Sanjo teste V3 // All Grey,9,0.12562475581377075
gid://shopify/Product/9641406202204,Sanjo K100 // Burel Boletos,gid://shopify/Product/9641469051228,Sanjo K100 Bombazine // Olive,10,0.12513235169226558
gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,gid://shopify/Product/9641450471772,Sanjo K100 // Brown Gum,1,0.14613188681774267
gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,gid://shopify/Product/9641414525276,Sanjo K100 // Ecru,2,0.14493221048025123
gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,gid://shopify/Product/9641450111324,Sanjo K100 // Blue Gum,3,0.1431841280565213
gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,gid://shopify/Product/9641469051228,Sanjo K100 Bombazine // Olive,4,0.1397824777864405
gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,gid://shopify/Product/9641412362588,Sanjo K100 Cordura // All Kaki,5,0.13903174854547568
gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,gid://shopify/Product/9641442050396,Sanjo SK EVO 100 // All Grey,6,0.136947190828985
gid://shopify/Product/9641406955868,Sanjo K100 // Burel Moss,gid://shopify/Product/9641442607452,Sanjo SK EVO 100 // Pearl Multicolor,7,0.13694719069934397
