feature_name,source
product_title,Original product information
product_id,Original product information
handle,Original product information
reviews_rating,Other/Unknown
reviews_rating_count,Other/Unknown
custom_cor,Other/Unknown
metafield_shopify--discovery--product_recommendation_related_products_display_ahead,TF-IDF from product metafields
metafield_shopify--discovery--product_recommendation_related_products_display_only_manual,TF-IDF from product metafields
metafield_shopify_fabric_angora_bamboo,TF-IDF from product metafields
metafield_shopify_age-group_adults,TF-IDF from product metafields
metafield_shopify_target-gender_unisex,TF-IDF from product metafields
metafield_shopify_accessory-size_one_size,TF-IDF from product metafields
metafield_shopify_headwear-features_adjustable_fit,TF-IDF from product metafields
metafield_shopify_size_one_size,TF-IDF from product metafields
metafield_shopify_size_s_m_m_l,TF-IDF from product metafields
metafield_shopify_size_xs_s_s_m_m_l,TF-IDF from product metafields
metafield_shopify_size_xs_s_m_l_xl,TF-IDF from product metafields
metafield_shopify_size_xs_s_m_l,TF-IDF from product metafields
metafield_shopify_size_xxs_s_m_l,TF-IDF from product metafields
metafield_shopify_neckline_round,TF-IDF from product metafields
product_type_,Product type dummy variable
product_type_bone,Product type dummy variable
product_type_robe,Product type dummy variable
product_type_scrunchie,Product type dummy variable
product_type_slipsilk,Product type dummy variable
product_type_trousers,Product type dummy variable
tag_satin_shirt,Tag dummy variable
tag_satin_trousers,Tag dummy variable
tag_sweatshirt_conj,Tag dummy variable
collections_ACESSÓRIOS,Collection dummy variable
collections_All,Collection dummy variable
collections_BIQUÍNIS,Collection dummy variable
collections_BONÉS E CHAPÉUS,Collection dummy variable
collections_FW'23 | ACTIVEWEAR & PADEL COLLECTION 🎾,Collection dummy variable
collections_FW'23 | LOUNGEWEAR COLLECTION,Collection dummy variable
collections_FW'23 | SLEEPWEAR COLLECTION,Collection dummy variable
collections_FW’24 | BOTTOMS,Collection dummy variable
collections_FW’24 | TOPS,Collection dummy variable
collections_FW’24 | TRACKSUIT COLLECTION,Collection dummy variable
collections_KIDS,Collection dummy variable
collections_LENÇOS,Collection dummy variable
collections_LINGERIE COLLECTION,Collection dummy variable
collections_OS MAIS PROCURADOS,Collection dummy variable
collections_OS MAIS VENDIDOS,Collection dummy variable
collections_OUTLET,Collection dummy variable
collections_SCRUNCHIES,Collection dummy variable
collections_SS'24 | EASYWEAR,Collection dummy variable
collections_SS'24 | RJ COLLECTION 🇧🇷,Collection dummy variable
