checkout_id,product_ids,product_names,item_count
46594846523733,"['9534263820629', '9534252417365', '9475603464533', '9534253564245', '9475611623765', '9475609952597', '9534254842197', '9534257496405', '9534259396949', '9534261526869']","[""SS'24 SCRUNCHIE | S12"", ""SS'24 SCRUNCHIE | S6"", ""SS'24 SCRUNCHIE | LAVENDER"", ""SS'24 SCRUNCHIE | S7"", ""SS'24 SCRUNCHIE | S2"", ""SS'24 SCRUNCHIE | S1"", ""SS'24 SCRUNCHIE | S8"", ""SS'24 SCRUNCHIE | S9"", ""SS'24 SCRUNCHIE | S10"", ""SS'24 SCRUNCHIE | S11""]",10
46746669875541,"['9789984244053', '9790024712533', '9789936238933', '9789937123669', '9789954949461', '9789955735893', '9789978476885', '9789938368853', '9789938991445']","['BIQUÍNI LANI S1 Cueca - S / Tanga', 'TRIQUÍNI MOLOKAI S1 - S', 'BIQUÍNI MAUI S1 Top - S', 'BIQUÍNI MAUI S1 Cueca - S / Tanga', 'BIQUÍNI LANIKAI S2 Top - S', 'BIQUÍNI LANIKAI S2 Cueca - S / Tanga', 'BIQUÍNI LANI S1 Top - S', 'BIQUÍNI MAUI S2 Top - S', 'BIQUÍNI MAUI S2 Cueca - S / Tanga']",9
46740112015701,"['9790004298069', '9823036408149', '9790006460757', '9790007247189', '9790005018965', '9790002233685', '9790003118421', '9788874129749', '9788875768149']","['BIQUÍNI HAWI S2 Top - M', 'WHITE HULA CROP TOP - S/M', 'BIQUÍNI HAWI S3 Top - M', 'BIQUÍNI HAWI S3 Cueca - M / Regular', 'BIQUÍNI HAWI Cueca - M / Regular', 'BIQUÍNI HAWI S1 Top - M', 'BIQUÍNI HAWI S1 Cueca - M / Regular', 'BIQUÍNI OAHU S3 Top - M', 'BIQUÍNI OAHU S3 Cueca - M / Regular']",9
46548074234197,"['9592159666517', '9499394310485', '9592231100757', '9592236736853', '9588919664981', '9592158159189', '9588917207381']","['BIQUÍNI LEBLON S1 Cueca - L / Regular', 'TRIQUÍNI GÁVEA S4 - L', 'BIQUÍNI PONTA DO SAPÊ S4 Top - L', 'BIQUÍNI PONTA DO SAPÊ S4 Cueca - XL / Regular', 'BIQUÍNI ARPOADOR S2 Regular - L', 'BIQUÍNI LEBLON S1 Top - L', 'BIQUÍNI ARPOADOR S2 Top - L']",7
46525069656405,"['9588829651285', '9592159666517', '9592158159189', '9588860027221', '9588865859925', '9588863041877']","['BIQUÍNI IPANEMA S1 Top - M', 'BIQUÍNI LEBLON S1 Cueca - M / Tanga', 'BIQUÍNI LEBLON S1 Top - M', 'BIQUÍNI IPANEMA S1 Regular - S', 'BIQUÍNI IPANEMA S2 Regular - S', 'BIQUÍNI IPANEMA S2 Top - M']",6
46584606163285,"['9617267949909', '7953514889443', '9393052844373', '9509608882517', '9393033281877']","['WHITE CROP TOP TRACKSUIT - M/L', 'BLACK TRACKSUIT CROP TOP - M/L', 'PARÉO TANGUÁ S8', 'BONÉ MISSUS S10', ""SS'24 TOTE BAG MISSUS S2""]",5
46483717488981,"['9618038227285', '9618043732309', '9618039800149', '9617334829397', '9618042847573']","['BLUE TRACKSUIT CREWNECK SWEATSHIRT - XS/S', 'GREEN TRACKSUIT STRAIGHT SWEATPANTS - XS/S', 'BLACK TRACKSUIT STRAIGHT SWEATPANTS - XS/S', 'BLUE TRACKSUIT T-SHIRT - XS/S', 'BLUE TRACKSUIT STRAIGHT SWEATPANTS - XS/S']",5
46785497137493,"['9508296556885', '9789954949461', '9789955735893', '9790024712533', '9508296982869']","['BONÉ MISSUS S4', 'BIQUÍNI LANIKAI S2 Top - XS', 'BIQUÍNI LANIKAI S2 Cueca - XS / Regular', 'TRIQUÍNI MOLOKAI S1 - XS', 'BONÉ MISSUS S5']",5
46740060078421,"['9788805775701', '9788807676245', '9790004298069', '9790005018965']","['BIQUÍNI KAUAI S1 Top - XS', 'BIQUÍNI KAUAI S1 Cueca - XS / Regular', 'BIQUÍNI HAWI S2 Top - XS', 'BIQUÍNI HAWI Cueca - XS / Regular']",4
46773908078933,"['9503591104853', '9503592612181', '9586058494293', '9586057576789']","['BIQUÍNI NITERÓI S2 Top - S', 'BIQUÍNI NITERÓI S2 Regular - S', 'BIQUÍNI BENISSA S3 Regular - S', 'BIQUÍNI BENISSA S3 Top - S']",4
46509613973845,"['9617263231317', '9592268849493', '9592271765845', '9618039800149']","['BLACK CROP TOP TRACKSUIT - XS/S', 'BIQUÍNI MARAMBAIA S2 Cueca - S / Tanga', 'BIQUÍNI MARAMBAIA S2 Top - S', 'BLACK TRACKSUIT STRAIGHT SWEATPANTS - XS/S']",4
