product1_id,product1,product2_id,product2,similarity
gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,0.9393689525894846
gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,gid://shopify/Product/7830912663779,CALLIE LACE SHORT,0.9393689525894846
gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,0.9547804124696817
gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,0.8762633879611651
gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,0.9129159569795413
gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,0.9393689525894846
gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,gid://shopify/Product/7830912663779,CALLIE LACE SHORT,1.0
gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,0.9838586342169163
gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,0.9328213217454533
gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,0.8833513517667169
gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,gid://shopify/Product/8988326199637,SAGE GREEN SATIN & LACE ROBE,0.8644775549527706
gid://shopify/Product/7830912663779,CALLIE LACE SHORT,gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,0.9393689525894846
gid://shopify/Product/7830912663779,CALLIE LACE SHORT,gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,1.0
gid://shopify/Product/7830912663779,CALLIE LACE SHORT,gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,0.9838586342169163
gid://shopify/Product/7830912663779,CALLIE LACE SHORT,gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,0.9328213217454533
gid://shopify/Product/7830912663779,CALLIE LACE SHORT,gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,0.8833513517667169
gid://shopify/Product/7830912663779,CALLIE LACE SHORT,gid://shopify/Product/8988326199637,SAGE GREEN SATIN & LACE ROBE,0.8644775549527706
gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,0.9547804124696817
gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,0.9838586342169163
gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,gid://shopify/Product/7830912663779,CALLIE LACE SHORT,0.9838586342169163
gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,0.9177643115809002
gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,0.869092854482869
gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,gid://shopify/Product/8988295725397,SAGE GREEN SATIN & LACE TOP,0.8689277374913624
gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,gid://shopify/Product/8988326199637,SAGE GREEN SATIN & LACE ROBE,0.8505237065270119
gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,0.8762633879611651
gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,0.9328213217454533
gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,gid://shopify/Product/7830912663779,CALLIE LACE SHORT,0.9328213217454533
gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,0.9177643115809002
gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,0.9469673678918805
gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,gid://shopify/Product/7830854664419,ATHENA LACE BACK BRAZILIAN,0.9129159569795413
gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,gid://shopify/Product/7830855254243,ATHENA TRIANGLE LACE BRA,0.8833513517667169
gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,gid://shopify/Product/7830912663779,CALLIE LACE SHORT,0.8833513517667169
gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,gid://shopify/Product/7830915317987,CHLOÉ SATIN AND MESH BRA,0.869092854482869
gid://shopify/Product/7830974824675,SOPHIA SATIN THONG,gid://shopify/Product/7830915875043,CHLOÉ SATIN AND MESH BRIEF,0.9469673678918805
gid://shopify/Product/7953513775331,BLACK LOUNGEWEAR SWEATSHIRT,gid://shopify/Product/9571858612565,BLUE LOUNGEWEAR SWEATSHIRT,0.8924954146345324
gid://shopify/Product/7953513775331,BLACK LOUNGEWEAR SWEATSHIRT,gid://shopify/Product/9571859530069,SALMON LOUNGEWEAR SWEATSHIRT,0.8924954146345324
gid://shopify/Product/7953514365155,BLACK LOUNGEWEAR TROUSERS,gid://shopify/Product/7953520820451,BLUE TRACKSUIT SWEATSHIRT,0.8696506761580842
gid://shopify/Product/7953514365155,BLACK LOUNGEWEAR TROUSERS,gid://shopify/Product/7953539039459,TAUPE TRACKSUIT SWEATSHIRT,0.8696506761580842
gid://shopify/Product/7953514365155,BLACK LOUNGEWEAR TROUSERS,gid://shopify/Product/9571854909781,SALMON LOUNGEWEAR TROUSERS,0.9142271278713452
gid://shopify/Product/7953514365155,BLACK LOUNGEWEAR TROUSERS,gid://shopify/Product/9571861037397,BEGE LOUNGEWEAR SWEATSHIRT,0.8854650985766549
gid://shopify/Product/7953514365155,BLACK LOUNGEWEAR TROUSERS,gid://shopify/Product/9591109550421,BROWN TRACKSUIT SWEATSHIRT,0.8696506761580842
gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
